,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
177_sim,-9.99540355268156,-4.696503375238075,1.0586979852027197e-06,0.3053953558587819,0.07522161169587574,5.70090978368586e-07
178_sim,-8.349176844145168,-4.678676531091709,-2.7028276197743924e-06,0.43634657958228523,0.4152507586983987,2.8607078651405728e-06
179_sim,-8.020789560584118,-6.079779495147213,6.958174279992354e-06,0.41075410544869145,0.5375808233812861,3.4159570845655526e-06
180_sim,-6.74285940176724,-8.628979947003563,1.842161629217229e-05,0.48393093649971564,1.971996277786897,7.538233822783093e-06
181_sim,-6.9268805044183415,-4.280243239105699,-9.96114583725773e-06,0.6440742130356752,1.2363374427047613,5.8161470327014394e-06
182_sim,-7.987232705152732,-5.082494635716327,-3.473704529031162e-06,0.46405334199177056,0.5668604161907878,3.6433191875166814e-06
183_sim,-6.9288647499683895,-7.994006974552959,1.5963521796613245e-05,0.1378246901219215,0.27564947906931614,3.5704010588835222e-06
184_sim,-7.424826493949905,-5.0555563481226935,-7.881323598960676e-06,0.5570290760320394,0.9780555626769827,5.626529324157906e-06
185_sim,-7.450852420373393,-4.281686801090747,-6.0230600708388195e-06,0.5291973146958755,0.753464219655671,4.272454072427643e-06
186_sim,-8.155477700775418,-4.252494654957197,-1.556518792832812e-06,0.4342390446479532,0.40483287862425005,2.7932929533046678e-06
187_sim,-8.508862093857415,-5.583485659019372,-2.1536062517842817e-06,0.3939234093510865,0.4127141387488197,2.888095379578283e-06
188_sim,-7.438115500457598,-6.2029861043221235,1.0035349496417021e-05,0.4237378156189269,0.7966462395384487,4.225788853626928e-06
189_sim,-9.670856276425122,-4.715693173426825,-1.0091787130619128e-06,0.004883266024039453,0.16597999188151105,2.301174845273114e-06
190_sim,-8.503548480425273,-6.151435472578453,5.116048908090846e-06,0.35362593964266037,0.3717688366641504,2.497300491877667e-06
191_sim,-9.936293434950258,-5.0489894781252795,2.0819752139913016e-06,0.4190918169822752,0.12493722165978591,9.525750305464474e-07
192_sim,-9.915839526594382,-5.638453622424451,-5.880534579230494e-07,0.23769377584091667,0.09244230340431045,7.146413659529784e-07
193_sim,-8.373542118652148,-4.833464695696076,-2.06071447776623e-06,0.4395320788902875,0.4084473502892227,2.796316748269948e-06
194_sim,-10.03267413896563,-4.418859426790898,9.356784933345177e-07,0.3388182776068168,0.07606496849142805,5.987642754729963e-07
195_sim,-8.76895492998402,-5.077913891504326,-2.588053407492928e-06,0.4193645041927974,0.3342760421119748,2.3914847519293097e-06
196_sim,-8.47937390573872,-5.434134757079893,4.3883635366057514e-06,2.1579186437577746e-05,0.20857411790562783,2.190140917475668e-06
197_sim,-9.820477687210154,-4.9621456921950164,1.0719798823458513e-06,0.4676547273043056,0.14118622651631257,1.0345825343578885e-06
198_sim,-9.328290257233952,-4.715729329220826,2.1439018545269693e-06,0.0002530383903774567,0.0006259873780375813,9.795404631151902e-07
