,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
348_sim,0.1047573976256312,0.970129632511459,-10.000568629196437,-5.130411534787506,2.8863952995101435e-07,0.005335268224432017,0.04934346080323844,0.12790305879867145,0.2688194845923757,3.376448008188125e-07
349_sim,0.10727706569808489,1.2668320436663159,-9.924827560791638,-4.206365347453323,4.972826945427659e-07,0.004133641952270712,0.049350949322344594,0.15604780244341188,0.1649576819412441,3.1259591432571655e-07
350_sim,0.09924639581906596,1.1173645248284003,-9.91656007062366,-4.786283143539417,1.0232208473545385e-06,0.004526692592709957,0.050878124392316815,0.10098799973612656,0.22517958531176727,2.6818580349288195e-07
351_sim,0.11102048855732795,0.9057993025203501,-10.009366602311383,-4.423855441844741,5.855899138421004e-07,0.004981152427738583,0.040439034433974876,0.1451131103541604,0.19974418057943538,3.5147585919352795e-07
352_sim,0.08429977383913398,0.8474596455098153,-10.0426360475981,-5.5774699817695526,4.3370925621521465e-07,0.003650182576981841,0.036664866081715694,0.11085128668957799,0.243108289344531,2.6411357172205026e-07
353_sim,0.11526923071560832,0.8370657875805944,-10.265828156897081,-5.048834701014885,3.9845087141455675e-08,0.006780895878612426,0.04950916292331684,0.18146823845856175,0.3005825431969985,4.128472941669686e-07
354_sim,0.07010581710108381,0.7275175173318708,-10.236287172780864,-7.3107862195182,5.693736845200557e-07,0.002364110431800386,0.02419224300597696,0.09537295198479225,0.23511072321553586,2.627012790551725e-07
355_sim,0.13669959231582546,1.1225430523276718,-10.042731946128633,-4.369205293167529,6.736444058690959e-07,0.005881011777773422,0.048267611862663456,0.14242898980103447,0.18772022447669504,3.385313318975366e-07
356_sim,0.10396287813933945,0.7949425775887096,-9.89570948730373,-5.585085880945294,1.4504085295660101e-06,0.0061149409759945145,0.04669982717558512,0.12539934626292062,0.35306678487995663,4.043313956098039e-07
357_sim,0.08418826773111132,0.9190703334603189,-10.364940185431337,-6.3670390314456755,2.3681689454169674e-07,0.004169702967103103,0.04540025331921849,0.2102443333347023,0.31583261411954944,3.1470262286203037e-07
358_sim,0.13350738610849755,1.2802334504928898,-10.096320749902972,-4.415269793554807,3.799745762618489e-07,0.004764574202932389,0.04572043646453243,0.13217301796707578,0.16543500008717477,3.006341078655688e-07
359_sim,0.11219408812483028,0.9860945444199003,-10.067144995834937,-4.631714888515392,6.17803589710295e-07,0.005489896283551138,0.04789804022919936,0.09175143247239355,0.22510194694150154,2.2512110073664892e-07
360_sim,0.117938921741148,1.0357066162279525,-9.928459563999876,-4.3577211728806695,5.43384832089146e-07,0.00447502082116015,0.03977942182833244,0.11313982977298982,0.1753311595333786,3.071248709450127e-07
361_sim,0.1100044649664926,0.923542023835215,-10.169531708249709,-5.128541195577373,1.9773865250955544e-07,0.007764761300268789,0.06484992718164924,0.15035851075434947,0.3537979691022477,3.5968243251313037e-07
362_sim,0.08929974087668607,0.9283207739510609,-9.939511929743805,-4.996750154135283,3.162082836361207e-07,0.005179379582449508,0.053575923098022525,0.12269778015432742,0.29645363014467274,3.0382304762282154e-07
363_sim,0.07431798318997776,0.7290307055213379,-10.131936709911642,-6.322010968129112,1.0713534226292134e-06,0.0034984579297627533,0.03404933036808947,0.19177513271790542,0.29688359910166967,4.0656851072359083e-07
364_sim,0.11409139726543603,1.017949090697834,-9.985866848008282,-4.398837773088424,7.718697375526828e-07,0.004727350181521066,0.04223275909606524,0.11678927499309698,0.19483556440725783,2.5578270547180524e-07
365_sim,0.10619868405411427,1.0467279802876615,-10.069653156927613,-5.078193149441974,3.360663930557585e-07,0.0932615843829779,0.9194620037565234,0.5460177165659026,4.424165542212193,2.1808211702972163e-07
366_sim,0.12107333236172435,1.0149763593615202,-9.83734891881644,-4.918901459666998,8.031433880077921e-07,0.006219263399414976,0.052013742008872266,0.1266638050196903,0.25427156653554944,3.58120078071424e-07
367_sim,0.08279922917936473,0.8193974873005915,-10.026692651770283,-5.170916533593064,8.233178892065044e-07,0.06374253735666098,0.6314138041338265,0.42648737321725555,3.9665138941910225,2.5954016691548944e-07
368_sim,0.11570831082899148,0.9854573662213528,-9.836611876386009,-4.400680213342206,4.415365532345192e-07,0.004947319950631433,0.042187098416089294,0.12191776006343091,0.19160099449611276,3.622580450167848e-07
369_sim,0.09685632845590116,0.9363705931375973,-10.158799565253021,-5.262327166786001,4.1179997094616737e-07,0.00495076463672041,0.04769828588985948,0.11151214115022921,0.26371409083234665,2.1783573583368232e-07
370_sim,0.10466661903705315,0.9697036359776764,-9.987358099527617,-5.429332442126079,4.7345574991298276e-07,0.005288703047355321,0.048852865715112784,0.10857090386800607,0.26631517668922866,2.9648204632577446e-07
371_sim,0.1109816171722097,1.0005223813690538,-10.010330991936799,-4.9709391567457875,3.782662594945412e-08,0.0067374395628756875,0.0608144595345284,0.13131230002697553,0.3014776673873871,2.6379473816167465e-07
372_sim,0.07238536524611491,0.9094840229423552,-8.065078502602521,-6.996251571123765,5.068233764828896e-06,0.0853629938957125,1.123938829742699,1.0119525830421072,1.001206860605213,3.3567514477401984e-05
373_sim,0.09577047369136088,0.9188682801508494,-10.06306190797111,-5.499183687784383,7.327240428082984e-07,0.006019202570123558,0.05757986093035064,0.12593115783862566,0.35446245822651934,2.689075271259206e-07
374_sim,0.07529714068191469,0.717422013669914,-10.219058783414663,-6.998171884180614,6.50698240287562e-07,0.046639282590062524,0.4447358043460561,0.3545630098608965,4.295626026456978,2.3654139169094425e-07
375_sim,0.10140136071072808,1.057868535490883,-10.083374275650685,-4.778278447061804,5.877659841210599e-07,0.003948664619063857,0.04093393545403139,0.13009387231727557,0.17968783536403318,3.185841388918061e-07
376_sim,0.09182755621994579,1.0062438656403907,-9.841883867477918,-4.759625416409723,8.767933222207044e-07,0.0025259552226178598,0.028647472773574992,0.11409485972320457,0.14867786399581637,2.5143087468574587e-07
