,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
374_sim,0.10479916106397558,-10.086235464206768,-4.882377426614476,-3.11409098888357e-07,0.000321058065584691,0.15475412218955023,0.04789192409495054,3.9464720655623116e-07
375_sim,0.09722107348643996,-9.792927165299595,-5.0077363444257,7.201431477719549e-07,0.00047562604320232116,0.16932107962086698,0.06945126796273253,5.419020444380956e-07
376_sim,0.09364491589737477,-9.518807571803885,-4.674091544284069,2.988684653362781e-07,0.0007229419145012608,0.2746854564318869,0.10342655532675114,7.734779099217935e-07
377_sim,0.09822650795620858,-9.942934260171052,-4.7854568782709475,5.280862281259742e-07,0.0002793734626504133,0.11585902219395865,0.04040417422248997,3.1581994740716657e-07
378_sim,0.08941460298220062,-9.817745488527077,-5.206424687135366,6.662406204475307e-07,0.00022947514014495866,0.0957983790944164,0.037070541116941774,2.725240072564922e-07
379_sim,0.08410973810565413,-9.816403490110467,-5.393248384726162,1.0762340726989543e-07,0.00021007562362999408,0.12760603697810183,0.04027828167127501,2.8540756934425297e-07
380_sim,0.13679860434977875,-8.821560545572229,-4.511344880821672,1.747865265872329e-06,0.001663877939730668,0.25524723327008925,0.1744760807566905,1.5866956956209894e-06
381_sim,0.11575614722452464,-9.639767401463727,-4.826869917415094,7.560294235439575e-07,0.000467200477951107,0.14072150042936138,0.06232333909923377,5.324048007209719e-07
382_sim,0.1053191726589388,-9.969943844188597,-5.129447612594411,-3.64475612132221e-07,0.00025208699740052393,0.1028493838895661,0.03825890294498144,3.151348917153952e-07
383_sim,0.09085079333771415,-9.713652216261206,-5.301171249639855,7.804599349960921e-07,0.0002156639333819633,0.09883364584037581,0.03706473593794289,2.7084919013069273e-07
384_sim,0.12120874978793797,-9.828153631486492,-4.315974883253262,3.641448811927739e-07,0.00032894685712357377,0.15275218388386147,0.04534755809030221,3.939528607757312e-07
385_sim,0.08925388545814737,-9.951274089115843,-4.918450927887467,5.412847776350841e-07,0.00021442665702153387,0.09705904450976141,0.03309478339970761,2.444182178020708e-07
386_sim,0.10018525732807793,-9.899078931318687,-5.002962137106384,6.239505504463861e-07,0.00023607298012352416,0.1260930488302534,0.03902588238123178,3.0268768400290276e-07
387_sim,0.125975195013749,-9.097702858463213,-4.3108725019088014,1.2892434254862729e-06,0.0011641667062434202,0.23239909919252597,0.1239252417551865,1.0846340205376617e-06
388_sim,0.10963079677986656,-9.071446229968881,-5.313053090456193,1.7063264653112e-06,0.0010515224898428898,0.22892491923591157,0.14131161796593608,1.1328657109352458e-06
389_sim,0.09387316575065502,-9.839284900550053,-5.551666188877465,2.923891567173738e-07,0.00023115072424044554,0.12384091850669839,0.04255389773593157,3.2341597607101046e-07
390_sim,0.1058651134963858,-10.044870025689479,-5.064106703360315,2.1230616409405494e-07,0.000244092988060767,0.0991108356246308,0.03645250257183887,3.0145741216524235e-07
391_sim,0.11076105180903502,-8.54551642882654,-5.418383253034605,2.415489861136472e-06,0.0032221166533181415,0.4502453649349327,0.38284969947385367,2.99460228280927e-06
392_sim,0.08916700348576144,-9.864128588535166,-5.856412743972033,8.39300340836322e-07,0.00027382410916248524,0.11474866011142067,0.049617992415896574,3.6572216838324397e-07
393_sim,0.09092359487973575,-9.289355973246876,-5.2803091587697795,1.0901701313145327e-06,0.0005327882844660056,0.15844804197628462,0.0808482142069077,5.837478014980359e-07
394_sim,0.10181817357347768,-9.830561690951734,-4.79154778259574,3.8890363104321725e-07,0.0003674745641096735,0.2014237206096721,0.0594127502538999,4.659148093619688e-07
395_sim,0.08027974849287964,-9.39786345937497,-6.050246072300479,1.0072162821317524e-06,0.000769534464352754,0.24678634455724077,0.14005092442902747,9.497833281527153e-07
396_sim,0.10270129895864047,-8.348418084327031,-5.159450717331291,1.0065675628450396e-06,0.003343249154116634,0.41838485118243607,0.36964341173654763,2.69655274092106e-06
397_sim,0.10602477145779572,-9.641330751659298,-4.612655774849954,8.914188349021612e-07,0.0005350604276910402,0.16847181538260866,0.06912518596446102,5.634421717757145e-07
398_sim,0.10450402890177532,-9.978170529266526,-4.71439143163373,6.441479933801437e-07,0.0002424719795247945,0.11233530686399998,0.03495715459748408,2.8631621467600875e-07
399_sim,0.09223952845287178,-9.746212023675525,-5.567389873712612,1.7251361885740857e-07,0.0002446735405565926,0.12964389720958716,0.04636845905188501,3.422135157187673e-07
