,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
816_sim,0.09117249660369059,-9.923812897135353,-5.0114007631711734,7.857619105256869e-07,0.008091093130455277,0.16059863724905832,0.04772410225489364,3.2937801038777193e-07
817_sim,0.08499498035454985,-9.764302271971466,-4.994029743119393,1.5871027926868518e-07,0.012004339331094313,0.1640812943156851,0.06443633122641597,3.2293469235701594e-07
818_sim,0.10998528957135684,-9.369129105104834,-4.790036247801351,5.38765825413108e-07,0.004138340759000276,0.4505735417890358,0.22502755888604528,8.120195356019199e-07
819_sim,0.1046220049555286,-8.786824378593215,-4.307195112096378,9.172273829638285e-07,0.016730662957081713,1.188423016422889,0.6011739249525274,2.1174739992034745e-06
820_sim,0.13815272805463824,-8.54957423274137,-4.239524494321792,2.738761033681174e-06,0.00922641843094149,1.6600157768638442,0.8418694087261879,2.1180561699815666e-06
821_sim,0.10044440827382871,-9.925840159323684,-5.0050880554609485,7.67317934825886e-07,0.0003058372306262605,0.11245150355530252,0.04282020016658216,2.0861270419488725e-07
822_sim,0.09824245316862974,-9.86998457380321,-5.275200445894469,5.809266657047014e-07,0.003648027515946886,0.5205621716044186,0.2748667160227199,3.8013308365613387e-07
823_sim,0.10848589523317645,-9.727200833685089,-4.933269341501319,4.0877839727740286e-07,0.007082089159096792,0.18715697342624613,0.0849776283112877,4.2045864297540046e-07
824_sim,0.06731966561370635,-9.913889741500302,-6.260830791341774,7.069366798988207e-07,0.01051011617271878,2.508534140069711,1.5830747677002714,2.607913855497568e-07
825_sim,0.09789366822098158,-9.840017690094092,-5.242102735619869,4.5171548594047424e-07,0.0024652117444078415,0.5381119952799189,0.28286656321768305,4.4554422937803254e-07
826_sim,0.08972798143900446,-9.932988962272509,-4.966200429027047,3.182412216743617e-07,0.00921733572414783,0.10830638720181049,0.03954486452457655,2.3941845659898387e-07
827_sim,0.09158679515636425,-9.535169158570639,-5.184014822026531,1.1836902040455723e-06,0.005844195822257231,0.38632814579129526,0.19890694604679193,5.638829675627385e-07
828_sim,0.10346159938674744,-9.795761907846929,-4.125362652268843,9.481882607958409e-07,0.016069748862321386,1.7780837521419777,0.7478774499573849,2.732882539186611e-07
829_sim,0.11117909042341825,-9.12710352491469,-4.527221636450591,1.0683492590334833e-06,0.0024234105928772486,0.8994018496364626,0.44693115654913096,1.0647999336303802e-06
830_sim,0.10001604239490768,-9.775958552681209,-4.70941175188684,1.454333401947201e-07,0.00364384084261381,0.466880839319788,0.21934303917879258,3.5950114148899045e-07
831_sim,0.09365678737441638,-9.416587767509524,-5.00829062166193,1.317955255524653e-07,0.007370549151296191,0.2572394508777799,0.11355808230928896,8.177617626574154e-07
832_sim,0.07942653990571424,-9.684963004518998,-5.813798815802144,-8.61568529195031e-07,0.004022170584731893,1.8932271964104594,1.1348678807757206,5.775375930421052e-07
833_sim,0.08865047661818036,-8.954217682503053,-5.160899633286123,-1.176583449936114e-07,0.008594674064229174,0.3150896994313214,0.18942773930099036,1.0038984617944045e-06
834_sim,0.11179415534353171,-9.742595978193865,-4.364899484966052,8.37519701498592e-07,0.0024522887134071987,1.2110314928840613,0.5411469158447562,3.104906401720382e-07
835_sim,0.08971707781893278,-9.830934985210899,-4.94147426813583,4.2535662732124004e-07,0.010043031788323366,0.1264268763046317,0.04700364637014018,3.111225495561052e-07
836_sim,0.11068541787659192,-9.265284767655569,-4.4078817957172856,1.4655995849616701e-06,0.005256996488525783,1.0681658996374328,0.5065144308058723,9.799608605387778e-07
837_sim,0.09499253077338146,-8.866751499512032,-5.427474456836867,7.907539722796645e-07,0.002568150314534893,0.8240369807271837,0.5156388983421026,1.7287775995641166e-06
838_sim,0.08979049498212462,-9.933918961225627,-5.698671462911702,5.276618147663317e-07,0.0018405258579077962,1.3518642850859046,0.7745783279429037,2.4207430665035555e-07
839_sim,0.0954116421131856,-9.802075103570763,-5.459325407869002,8.840895588570654e-07,0.0025418212788348724,0.8044076703714449,0.4461407407040898,3.3354767578369013e-07
840_sim,0.13294095133201056,-9.184105685084075,-4.409931395705266,1.8953499765718543e-06,0.01593964314824473,1.3303957458285698,0.6396103817673313,6.620314652669463e-07
841_sim,0.09829490251452237,-10.013766731146266,-5.589425555240605,-3.095752502807927e-07,0.0121321894809183,1.39120039767187,0.7752656017541529,3.355452762592765e-07
842_sim,0.10173312895312267,-10.074825143116826,-4.642243718372063,1.5136216480590888e-07,0.00392782571605991,0.6181453935865594,0.26954915917809097,3.941484730594134e-07
843_sim,0.0744405518968309,-9.862612100578277,-5.718267178514152,1.7788376283091496e-07,0.009843513351451014,1.5528683467229223,0.8966128325211037,3.2367124860362216e-07
844_sim,0.1140560874957498,-9.71171798964915,-4.509756700403457,5.543981579397241e-07,0.003031279543782153,0.9481150315534425,0.4390096878746281,3.841918803802918e-07
845_sim,0.09860910113003447,-9.642307997994017,-5.353004840094905,1.8425126856697836e-07,0.004182633118312735,0.8519997897318331,0.46628811081853744,8.594147109207099e-07
846_sim,0.10228572621747274,-10.055763886172636,-5.224033880710243,4.6603939615443024e-07,0.006988972163265029,0.49209499053359335,0.2470191300163171,2.9646695183460466e-07
847_sim,0.1275224602621915,-9.713425370566553,-3.8805558187690923,9.633760714771282e-07,0.002737525025468939,2.288924120982579,0.9138567082739139,4.353779745610663e-07
